Fecha,TCR 1/
18/07/14,7.75709
19/07/14,7.75709
20/07/14,7.75709
21/07/14,7.76724
22/07/14,7.77591
23/07/14,7.79609
24/07/14,7.7967
25/07/14,7.7992
26/07/14,7.7992
27/07/14,7.7992
28/07/14,7.79939
29/07/14,7.81455
30/07/14,7.82252
31/07/14,7.81606
1/08/14,7.80096
2/08/14,7.80096
3/08/14,7.80096
4/08/14,7.79968
5/08/14,7.80787
6/08/14,7.80965
7/08/14,7.81531
8/08/14,7.82708
9/08/14,7.82708
10/08/14,7.82708
11/08/14,7.83327
12/08/14,7.83944
13/08/14,7.83555
14/08/14,7.83292
15/08/14,7.83292
16/08/14,7.83292
17/08/14,7.83292
18/08/14,7.82541
19/08/14,7.81984
20/08/14,7.8218
21/08/14,7.81012
22/08/14,7.80016
23/08/14,7.80016
24/08/14,7.80016
25/08/14,7.78541
26/08/14,7.77387
27/08/14,7.76966
28/08/14,7.7704
29/08/14,7.76718
30/08/14,7.76718
31/08/14,7.76718
1/09/14,7.75315
2/09/14,7.75082
3/09/14,7.74827
4/09/14,7.73507
5/09/14,7.72327
6/09/14,7.72327
7/09/14,7.72327
8/09/14,7.71263
9/09/14,7.74343
10/09/14,7.76062
11/09/14,7.75666
12/09/14,7.73842
13/09/14,7.73842
14/09/14,7.73842
15/09/14,7.73842
16/09/14,7.72098
17/09/14,7.72136
18/09/14,7.71834
19/09/14,7.71433
20/09/14,7.71433
21/09/14,7.71433
22/09/14,7.71694
23/09/14,7.71862
24/09/14,7.71696
25/09/14,7.71734
26/09/14,7.70721
27/09/14,7.70721
28/09/14,7.70721
29/09/14,7.68901
30/09/14,7.67118
1/10/14,7.65935
2/10/14,7.66143
3/10/14,7.68746
4/10/14,7.68746
5/10/14,7.68746
6/10/14,7.6951
7/10/14,7.69179
8/10/14,7.68051
9/10/14,7.66381
10/10/14,7.65534
11/10/14,7.65534
12/10/14,7.65534
13/10/14,7.65534
14/10/14,7.64148
15/10/14,7.63869
16/10/14,7.63422
17/10/14,7.62971
18/10/14,7.62971
19/10/14,7.62971
20/10/14,7.62971
21/10/14,7.63748
22/10/14,7.64398
23/10/14,7.6472
24/10/14,7.63784
25/10/14,7.63784
26/10/14,7.63784
27/10/14,7.6115
28/10/14,7.60908
29/10/14,7.61717
30/10/14,7.61258
31/10/14,7.60939
1/11/14,7.60939
2/11/14,7.60939
3/11/14,7.60939
4/11/14,7.60177
5/11/14,7.60808
6/11/14,7.60571
7/11/14,7.60109
8/11/14,7.60109
9/11/14,7.60109
10/11/14,7.59663
11/11/14,7.60268
12/11/14,7.60573
13/11/14,7.60496
14/11/14,7.61211
15/11/14,7.61211
16/11/14,7.61211
17/11/14,7.61411
18/11/14,7.6217
19/11/14,7.62046
20/11/14,7.61751
21/11/14,7.61849
22/11/14,7.61849
23/11/14,7.61849
24/11/14,7.62285
25/11/14,7.62391
26/11/14,7.62428
27/11/14,7.6302
28/11/14,7.64657
29/11/14,7.64657
30/11/14,7.64657
1/12/14,7.64932
2/12/14,7.6446
3/12/14,7.64359
4/12/14,7.63839
5/12/14,7.63218
6/12/14,7.63218
7/12/14,7.63218
8/12/14,7.63754
9/12/14,7.63845
10/12/14,7.63591
11/12/14,7.63702
12/12/14,7.6318
13/12/14,7.6318
14/12/14,7.6318
15/12/14,7.6297
16/12/14,7.62353
17/12/14,7.6167
18/12/14,7.6105
19/12/14,7.61472
20/12/14,7.61472
21/12/14,7.61472
22/12/14,7.6135
23/12/14,7.61352
24/12/14,7.61214
25/12/14,7.61214
26/12/14,7.60439
27/12/14,7.60439
28/12/14,7.60439
29/12/14,7.60041
30/12/14,7.59675
31/12/14,7.59675
1/01/15,7.59675
2/01/15,7.59748
3/01/15,7.59748
4/01/15,7.59748
5/01/15,7.59133
6/01/15,7.59153
7/01/15,7.5926
8/01/15,7.6108
9/01/15,7.63526
10/01/15,7.63526
11/01/15,7.63526
12/01/15,7.65646
13/01/15,7.67197
14/01/15,7.66638
15/01/15,7.65046
16/01/15,7.64817
17/01/15,7.64817
18/01/15,7.64817
19/01/15,7.64558
20/01/15,7.64253
21/01/15,7.64236
22/01/15,7.64221
23/01/15,7.64912
24/01/15,7.64912
25/01/15,7.64912
26/01/15,7.64911
27/01/15,7.65273
28/01/15,7.65305
29/01/15,7.65263
30/01/15,7.65538
31/01/15,7.65538
1/02/15,7.65538
2/02/15,7.65209
3/02/15,7.64892
4/02/15,7.64967
5/02/15,7.65162
6/02/15,7.65342
7/02/15,7.65342
8/02/15,7.65342
9/02/15,7.64981
10/02/15,7.64973
11/02/15,7.65372
12/02/15,7.65375
13/02/15,7.65048
14/02/15,7.65048
15/02/15,7.65048
16/02/15,7.65505
17/02/15,7.65122
18/02/15,7.64544
19/02/15,7.63997
20/02/15,7.63895
21/02/15,7.63895
22/02/15,7.63895
23/02/15,7.63448
24/02/15,7.63612
25/02/15,7.63403
26/02/15,7.63148
27/02/15,7.62728
28/02/15,7.62728
1/03/15,7.62728
2/03/15,7.62572
3/03/15,7.62453
4/03/15,7.62433
5/03/15,7.62267
6/03/15,7.62277
7/03/15,7.62277
8/03/15,7.62277
9/03/15,7.62343
10/03/15,7.62009
11/03/15,7.62122
12/03/15,7.6194
13/03/15,7.61371
14/03/15,7.61371
15/03/15,7.61371
16/03/15,7.61148
17/03/15,7.6124
18/03/15,7.61594
19/03/15,7.61763
20/03/15,7.62753
21/03/15,7.62753
22/03/15,7.62753
23/03/15,7.63307
24/03/15,7.63156
25/03/15,7.63452
26/03/15,7.63885
27/03/15,7.64469
28/03/15,7.64469
29/03/15,7.64469
30/03/15,7.64624
31/03/15,7.64485
1/04/15,7.63973
2/04/15,7.63973
3/04/15,7.63973
4/04/15,7.63973
5/04/15,7.63973
6/04/15,7.6369
7/04/15,7.63906
8/04/15,7.63984
9/04/15,7.64377
10/04/15,7.65456
11/04/15,7.65456
12/04/15,7.65456
13/04/15,7.65944
14/04/15,7.66327
15/04/15,7.66981
16/04/15,7.6719
17/04/15,7.68335
18/04/15,7.68335
19/04/15,7.68335
20/04/15,7.69998
21/04/15,7.70647
22/04/15,7.71904
23/04/15,7.73284
24/04/15,7.74629
25/04/15,7.74629
26/04/15,7.74629
27/04/15,7.76768
28/04/15,7.77216
29/04/15,7.76997
30/04/15,7.75679
1/05/15,7.75679
2/05/15,7.75679
3/05/15,7.75679
4/05/15,7.74508
5/05/15,7.73975
6/05/15,7.73775
7/05/15,7.7317
8/05/15,7.72137
9/05/15,7.72137
10/05/15,7.72137
11/05/15,7.70496
12/05/15,7.69392
13/05/15,7.68785
14/05/15,7.67053
15/05/15,7.63942
16/05/15,7.63942
17/05/15,7.63942
18/05/15,7.63058
19/05/15,7.63137
20/05/15,7.64437
21/05/15,7.65928
22/05/15,7.67203
23/05/15,7.67203
24/05/15,7.67203
25/05/15,7.67703
26/05/15,7.68364
27/05/15,7.68776
28/05/15,7.68189
29/05/15,7.66732
30/05/15,7.66732
31/05/15,7.66732
1/06/15,7.66822
2/06/15,7.66495
3/06/15,7.66802
4/06/15,7.68059
5/06/15,7.68959
6/06/15,7.68959
7/06/15,7.68959
8/06/15,7.69111
9/06/15,7.69191
10/06/15,7.68195
11/06/15,7.66603
12/06/15,7.65925
13/06/15,7.65925
14/06/15,7.65925
15/06/15,7.65385
16/06/15,7.64674
17/06/15,7.63559
18/06/15,7.63639
19/06/15,7.63571
20/06/15,7.63571
21/06/15,7.63571
22/06/15,7.62906
23/06/15,7.62544
24/06/15,7.61862
25/06/15,7.61686
26/06/15,7.62452
27/06/15,7.62452
28/06/15,7.62452
29/06/15,7.62452
30/06/15,7.62452
1/07/15,7.62646
2/07/15,7.62356
3/07/15,7.62103
4/07/15,7.62103
5/07/15,7.62103
6/07/15,7.61873
7/07/15,7.62588
8/07/15,7.63345
9/07/15,7.64123
10/07/15,7.64533
11/07/15,7.64533
12/07/15,7.64533
13/07/15,7.65648
14/07/15,7.66379
15/07/15,7.6609
16/07/15,7.6524
17/07/15,7.64617
18/07/15,7.64617
19/07/15,7.64617
20/07/15,7.64784
21/07/15,7.65518
22/07/15,7.65952
23/07/15,7.65967
24/07/15,7.66765
25/07/15,7.66765
26/07/15,7.66765
27/07/15,7.66737
28/07/15,7.66872
29/07/15,7.66773
30/07/15,7.6568
31/07/15,7.64871
1/08/15,7.64871
2/08/15,7.64871
3/08/15,7.64267
4/08/15,7.64508
5/08/15,7.64466
6/08/15,7.64109
7/08/15,7.63836
8/08/15,7.63836
9/08/15,7.63836
10/08/15,7.63788
11/08/15,7.65339
12/08/15,7.65424
13/08/15,7.64806
14/08/15,7.64295
15/08/15,7.64295
16/08/15,7.64295
17/08/15,7.64295
18/08/15,7.63625
19/08/15,7.63326
20/08/15,7.63098
21/08/15,7.62939
22/08/15,7.62939
23/08/15,7.62939
24/08/15,7.62775
25/08/15,7.6379
26/08/15,7.65449
27/08/15,7.67075
28/08/15,7.67843
29/08/15,7.67843
30/08/15,7.67843
31/08/15,7.67975
1/09/15,7.69189
2/09/15,7.70561
3/09/15,7.72867
4/09/15,7.73823
5/09/15,7.73823
6/09/15,7.73823
7/09/15,7.73172
8/09/15,7.72548
9/09/15,7.72299
10/09/15,7.72042
11/09/15,7.71497
12/09/15,7.71497
13/09/15,7.71497
14/09/15,7.6987
15/09/15,7.6987
16/09/15,7.67978
17/09/15,7.66422
18/09/15,7.65343
19/09/15,7.65343
20/09/15,7.65343
21/09/15,7.64882
22/09/15,7.64695
23/09/15,7.65393
24/09/15,7.67582
25/09/15,7.6889
26/09/15,7.6889
27/09/15,7.6889
28/09/15,7.68018
29/09/15,7.67092
30/09/15,7.67553
1/10/15,7.70218
2/10/15,7.72421
3/10/15,7.72421
4/10/15,7.72421
5/10/15,7.7178
6/10/15,7.70353
7/10/15,7.70169
8/10/15,7.69332
9/10/15,7.6783
10/10/15,7.6783
11/10/15,7.6783
12/10/15,7.6783
13/10/15,7.67563
14/10/15,7.66856
15/10/15,7.66599
16/10/15,7.66164
17/10/15,7.66164
18/10/15,7.66164
19/10/15,7.65892
20/10/15,7.65892
21/10/15,7.66826
22/10/15,7.67848
23/10/15,7.69293
24/10/15,7.69293
25/10/15,7.69293
26/10/15,7.69455
27/10/15,7.68585
28/10/15,7.68225
29/10/15,7.66872
30/10/15,7.66267
31/10/15,7.66267
1/11/15,7.66267
2/11/15,7.66267
3/11/15,7.65683
4/11/15,7.65443
5/11/15,7.65755
6/11/15,7.66465
7/11/15,7.66465
8/11/15,7.66465
9/11/15,7.67066
10/11/15,7.67154
11/11/15,7.66455
12/11/15,7.66007
13/11/15,7.65538
14/11/15,7.65538
15/11/15,7.65538
16/11/15,7.65278
17/11/15,7.64946
18/11/15,7.64663
19/11/15,7.64601
20/11/15,7.64733
21/11/15,7.64733
22/11/15,7.64733
23/11/15,7.63798
24/11/15,7.63219
25/11/15,7.62585
26/11/15,7.61658
27/11/15,7.6153
28/11/15,7.6153
29/11/15,7.6153
30/11/15,7.6123
1/12/15,7.60127
2/12/15,7.60146
3/12/15,7.60991
4/12/15,7.61056
5/12/15,7.61056
6/12/15,7.61056
7/12/15,7.61033
8/12/15,7.60634
9/12/15,7.60991
10/12/15,7.60951
11/12/15,7.60965
12/12/15,7.60965
13/12/15,7.60965
14/12/15,7.60854
15/12/15,7.60699
16/12/15,7.60684
17/12/15,7.61419
18/12/15,7.62032
19/12/15,7.62032
20/12/15,7.62032
21/12/15,7.62591
22/12/15,7.62035
23/12/15,7.6188
24/12/15,7.61371
25/12/15,7.61371
26/12/15,7.61371
27/12/15,7.61371
28/12/15,7.61165
29/12/15,7.61469
30/12/15,7.63237
